_dt,location,trend,tweet_volume
2017-05-22T23:00:08.319Z,Barcelona,Whedon,
2017-05-22T23:00:08.763Z,Las Palmas,Whedon,
2017-05-22T23:00:09.683Z,Zaragoza,Whedon,
2017-05-22T23:00:09.854Z,Minsk,Joss Whedon,
2017-05-22T23:00:10.304Z,Seville,Whedon,
2017-05-22T23:00:11.035Z,Murcia,Whedon,
2017-05-22T23:00:11.110Z,Valencia,Whedon,
2017-05-22T23:00:11.456Z,Malaga,Whedon,
2017-05-22T23:00:11.977Z,Bilbao,Whedon,
2017-05-22T23:00:12.080Z,Gomel,Joss Whedon,
2017-05-22T23:00:12.188Z,Palma,Whedon,
2017-05-22T23:00:12.264Z,Madrid,Whedon,
2017-05-22T23:00:12.578Z,Brest,Joss Whedon,
2017-05-22T23:00:12.761Z,Hanoi,Joss Whedon,
2017-05-22T23:00:12.776Z,Can Tho,Joss Whedon,
2017-05-22T23:00:12.857Z,Hai Phong,Joss Whedon,
2017-05-22T23:00:12.936Z,Da Nang,Joss Whedon,
2017-05-22T23:00:13.076Z,Grodno,Joss Whedon,
2017-05-22T23:00:13.138Z,Ho Chi Minh City,Joss Whedon,
2017-05-22T23:00:13.466Z,Belarus,Joss Whedon,
2017-05-22T23:00:14.269Z,Spain,Whedon,
2017-05-22T23:00:14.809Z,Vietnam,Joss Whedon,
2017-05-22T23:00:14.896Z,Puerto Rico,Joss Whedon,
2017-05-23T00:00:07.869Z,Minsk,Joss Whedon,11496
2017-05-23T00:00:09.830Z,Da Nang,Joss Whedon,11496
2017-05-23T00:00:10.514Z,Can Tho,Joss Whedon,11496
2017-05-23T00:00:11.547Z,Hai Phong,Joss Whedon,11496
2017-05-23T00:00:11.563Z,Ho Chi Minh City,Joss Whedon,11230
2017-05-23T00:00:11.697Z,Latvia,Joss Whedon,11496
2017-05-23T00:00:11.911Z,Brest,Joss Whedon,11230
2017-05-23T00:00:11.972Z,Grodno,Joss Whedon,11230
2017-05-23T00:00:12.277Z,Hanoi,Joss Whedon,11496
2017-05-23T00:00:12.321Z,Gomel,Joss Whedon,11496
2017-05-23T00:00:12.427Z,Riga,Joss Whedon,11230
2017-05-23T00:00:12.844Z,Puerto Rico,Joss Whedon,11496
2017-05-23T00:00:12.883Z,Vietnam,Joss Whedon,11496
2017-05-23T00:00:14.102Z,Belarus,Joss Whedon,11496
2017-05-23T01:00:07.505Z,Hanoi,Joss Whedon,14179
2017-05-23T01:00:08.048Z,Hai Phong,Joss Whedon,14018
